ID_REF	VALUE
1007_s_at	10.3029
1053_at	6.33906
117_at	6.97735
121_at	8.89882
1255_g_at	6.37255
1294_at	7.7274
1316_at	7.29135
1320_at	6.2888
1405_i_at	6.57542
1431_at	6.29209
1438_at	7.48303
1487_at	7.22011
1494_f_at	7.50542
1598_g_at	10.345
160020_at	9.14846
1729_at	7.29584
1773_at	6.3396
177_at	6.33435
179_at	9.62554
1861_at	6.49636
200000_s_at	9.52941
200001_at	10.1578
200002_at	10.9787
200003_s_at	11.6453
200004_at	9.28489
200005_at	8.60713
200006_at	10.8625
200007_at	9.78778
200008_s_at	7.91676
200009_at	9.17637
200010_at	12.0298
200011_s_at	10.4819
200012_x_at	13.4432
200013_at	11.7231
200014_s_at	8.77535
200015_s_at	10.133
200016_x_at	12.8938
200017_at	11.7673
200018_at	12.427
200019_s_at	11.6984
200020_at	7.65924
200021_at	13.9804
200022_at	10.8339
200023_s_at	8.81255
200024_at	11.3523
200025_s_at	12.4563
200026_at	12.4786
200027_at	10.1123
200028_s_at	10.5499
200029_at	12.7276
200030_s_at	10.4704
200031_s_at	12.8317
200032_s_at	13.286
200033_at	7.00476
200034_s_at	10.6376
200035_at	9.31829
200036_s_at	10.4015
200037_s_at	7.50473
200038_s_at	10.6956
200039_s_at	7.73218
200040_at	9.30271
200041_s_at	7.98642
200042_at	8.65443
200043_at	10.1195
200044_at	9.57612
200045_at	7.94312
200046_at	7.60525
200047_s_at	6.89401
200048_s_at	9.05377
200049_at	7.98149
200050_at	7.37256
200051_at	7.31086
200052_s_at	6.77748
200053_at	9.07354
200054_at	7.87128
200055_at	10.0961
200056_s_at	6.42823
200057_s_at	10.6787
200058_s_at	8.4668
200059_s_at	10.6218
200060_s_at	10.4775
200061_s_at	12.8712
200062_s_at	13.2334
200063_s_at	10.1535
200064_at	11.6126
200065_s_at	10.8018
200066_at	8.60357
200067_x_at	9.84502
200068_s_at	11.1724
200069_at	6.79824
200070_at	8.39666
200071_at	6.77572
200072_s_at	7.7354
200073_s_at	7.86371
200074_s_at	9.43007
200075_s_at	8.28632
200076_s_at	8.77706
200077_s_at	12.5409
200078_s_at	9.06758
200079_s_at	7.59289
200080_s_at	9.07138
200081_s_at	12.1678
200082_s_at	11.5116
200083_at	10.0889
200084_at	8.95488
200085_s_at	9.92981
200086_s_at	11.1569
200087_s_at	7.92923
200088_x_at	11.2163
200089_s_at	10.8755
200090_at	8.47342
200091_s_at	11.1363
200092_s_at	11.2247
200093_s_at	7.83973
200094_s_at	11.4662
200095_x_at	13.3843
200096_s_at	6.83393
200097_s_at	7.85473
200098_s_at	8.17229
200099_s_at	11.5385
200593_s_at	7.54185
200594_x_at	8.67592
200595_s_at	7.47743
200596_s_at	8.97925
200597_at	7.36232
200598_s_at	7.32453
200599_s_at	7.42489
200600_at	8.56284
200601_at	8.82215
200602_at	9.1939
200603_at	7.3608
200604_s_at	6.60353
200605_s_at	9.56304
200606_at	6.35682
200607_s_at	7.68594
200608_s_at	7.90872
200609_s_at	8.46611
200610_s_at	10.1527
200611_s_at	7.35303
200612_s_at	9.89556
200613_at	8.97383
200614_at	10.0189
200615_s_at	7.19631
200616_s_at	8.57844
200617_at	7.93692
200618_at	9.52391
200619_at	9.41784
200620_at	8.25399
200621_at	10.9648
200622_x_at	9.33617
200623_s_at	10.3868
200624_s_at	8.55906
200625_s_at	8.78329
200626_s_at	9.23547
200627_at	8.99839
200628_s_at	7.18628
200629_at	7.94034
200630_x_at	12.0571
200631_s_at	9.75523
200632_s_at	11.9982
200633_at	13.6201
200634_at	8.56995
200635_s_at	7.66901
200636_s_at	8.56091
200637_s_at	6.99335
200638_s_at	7.49202
200639_s_at	10.6785
200640_at	9.51452
200641_s_at	8.21314
200642_at	10.1994
200643_at	8.42446
200644_at	11.5246
200645_at	10.9659
200646_s_at	7.02616
200647_x_at	10.5583
200648_s_at	10.1814
200649_at	8.23028
200650_s_at	10.267
200651_at	11.4772
200652_at	9.14787
200653_s_at	11.834
200654_at	8.57587
200655_s_at	10.5685
200656_s_at	8.53381
200657_at	8.76361
200658_s_at	7.20103
200659_s_at	7.62075
200660_at	7.14773
200661_at	8.40527
200662_s_at	8.39842
200663_at	10.0793
200664_s_at	7.50242
200665_s_at	7.91814
200666_s_at	9.89058
200667_at	8.2483
200668_s_at	8.86553
200669_s_at	6.8924
200670_at	6.94475
200671_s_at	8.13554
200672_x_at	9.83164
200673_at	7.80465
200674_s_at	13.4771
200675_at	11.0197
200676_s_at	8.90637
200677_at	8.82961
200678_x_at	8.5135
200679_x_at	9.32494
200680_x_at	11.8854
200681_at	8.54106
200682_s_at	8.68305
200683_s_at	7.83678
200684_s_at	7.8978
200685_at	6.37231
200686_s_at	6.90568
200687_s_at	8.36288
200688_at	6.78514
200689_x_at	12.3018
200690_at	6.98102
200691_s_at	9.4252
200692_s_at	7.31528
200693_at	10.252
200694_s_at	10.3166
200695_at	9.9409
200696_s_at	9.33114
200697_at	11.2258
200698_at	6.56604
200699_at	7.51363
200700_s_at	6.62725
200701_at	9.62504
200702_s_at	9.36756
200703_at	11.0418
200704_at	8.18732
200705_s_at	11.2474
200706_s_at	8.04236
200707_at	8.09213
200708_at	8.40318
200709_at	8.69777
200710_at	7.9835
200711_s_at	11.1015
200712_s_at	7.40811
200713_s_at	9.22705
200714_x_at	10.1373
200715_x_at	12.2444
200716_x_at	13.5824
200717_x_at	12.5196
200718_s_at	10.9074
200719_at	9.04967
200720_s_at	7.51727
200721_s_at	9.47186
200722_s_at	7.30507
200723_s_at	7.36223
200724_at	6.9552
200725_x_at	12.5173
200726_at	9.08179
200727_s_at	8.28661
200728_at	8.59445
200729_s_at	6.85657
200730_s_at	7.04716
200731_s_at	7.23109
200732_s_at	8.55861
200733_s_at	6.58665
200734_s_at	11.35
200735_x_at	11.0344
200736_s_at	9.80453
200737_at	7.37264
200738_s_at	9.75314
200739_s_at	7.16463
200740_s_at	10.3967
200741_s_at	13.2539
200742_s_at	7.50946
200743_s_at	9.37437
200744_s_at	7.54163
200745_s_at	11.5437
200746_s_at	11.9546
200747_s_at	9.27312
200748_s_at	13.0744
200749_at	7.2713
200750_s_at	7.59593
200751_s_at	6.54815
200752_s_at	8.40045
200753_x_at	6.76974
200754_x_at	7.58998
200755_s_at	6.71345
200756_x_at	8.15201
200757_s_at	7.48183
200758_s_at	10.3044
200759_x_at	11.2409
200760_s_at	7.99257
200761_s_at	9.62532
200762_at	11.452
200763_s_at	12.6583
200764_s_at	8.01849
200765_x_at	8.35951
200766_at	7.75804
200767_s_at	7.9415
200768_s_at	9.43803
200769_s_at	6.7955
200770_s_at	6.42352
200771_at	6.84051
200772_x_at	11.2307
200773_x_at	12.6084
200774_at	8.39917
200775_s_at	8.40346
200776_s_at	7.04641
200777_s_at	7.34697
200778_s_at	8.72258
200779_at	10.2796
200780_x_at	13.8727
200781_s_at	10.9679
200782_at	7.39494
200783_s_at	8.60574
200784_s_at	9.69076
200785_s_at	8.5436
200786_at	8.3697
200787_s_at	11.0695
200788_s_at	13.2831
200789_at	7.81607
200790_at	7.84148
200791_s_at	7.89287
200792_at	8.85077
200793_s_at	9.63896
200794_x_at	9.17394
200795_at	13.358
200796_s_at	6.57288
200797_s_at	9.41807
200798_x_at	6.30589
