ID_REF	VALUE
1007_s_at	9.1151
1053_at	6.50003
117_at	6.7655
121_at	8.924
1255_g_at	6.48128
1294_at	7.35173
1316_at	7.19003
1320_at	6.49507
1405_i_at	6.49584
1431_at	6.276
1438_at	7.41343
1487_at	7.32193
1494_f_at	7.21254
1598_g_at	9.66978
160020_at	8.68754
1729_at	7.05522
1773_at	6.18617
177_at	6.5346
179_at	9.24522
1861_at	6.37739
200000_s_at	8.56862
200001_at	8.53803
200002_at	10.8554
200003_s_at	9.88609
200004_at	9.03232
200005_at	7.54049
200006_at	10.6634
200007_at	11.6687
200008_s_at	7.65518
200009_at	10.725
200010_at	9.02846
200011_s_at	10.0966
200012_x_at	11.2141
200013_at	11.9202
200014_s_at	9.50668
200015_s_at	9.74513
200016_x_at	12.8122
200017_at	11.0851
200018_at	11.299
200019_s_at	10.3386
200020_at	8.18343
200021_at	13.8935
200022_at	8.06004
200023_s_at	7.79159
200024_at	8.86411
200025_s_at	12.7661
200026_at	11.6546
200027_at	11.1239
200028_s_at	12.0835
200029_at	11.1082
200030_s_at	9.75249
200031_s_at	13.3465
200032_s_at	12.0355
200033_at	7.08967
200034_s_at	9.40947
200035_at	7.38028
200036_s_at	8.40081
200037_s_at	7.65813
200038_s_at	8.67197
200039_s_at	7.03284
200040_at	10.3109
200041_s_at	7.24097
200042_at	8.89449
200043_at	11.3353
200044_at	10.7738
200045_at	7.73111
200046_at	7.89499
200047_s_at	7.74771
200048_s_at	8.00725
200049_at	8.21926
200050_at	7.40895
200051_at	7.14993
200052_s_at	6.53724
200053_at	7.73703
200054_at	7.74666
200055_at	9.09738
200056_s_at	6.85551
200057_s_at	11.3751
200058_s_at	8.47504
200059_s_at	8.34381
200060_s_at	9.58593
200061_s_at	10.7436
200062_s_at	11.4885
200063_s_at	9.32539
200064_at	8.76733
200065_s_at	8.66365
200066_at	7.79257
200067_x_at	10.5094
200068_s_at	13.3131
200069_at	7.30417
200070_at	8.47077
200071_at	8.83489
200072_s_at	7.01474
200073_s_at	7.46291
200074_s_at	7.47437
200075_s_at	6.85271
200076_s_at	8.5006
200077_s_at	11.087
200078_s_at	8.67672
200079_s_at	7.5372
200080_s_at	9.51535
200081_s_at	8.90716
200082_s_at	9.20002
200083_at	10.0931
200084_at	9.11947
200085_s_at	8.50874
200086_s_at	10.0712
200087_s_at	10.5557
200088_x_at	9.56665
200089_s_at	8.14111
200090_at	8.30623
200091_s_at	11.1912
200092_s_at	9.08418
200093_s_at	7.49024
200094_s_at	10.5515
200095_x_at	12.2397
200096_s_at	6.82849
200097_s_at	8.79991
200098_s_at	8.29576
200099_s_at	10.5426
200593_s_at	7.27713
200594_x_at	10.2366
200595_s_at	8.6624
200596_s_at	7.78331
200597_at	7.32751
200598_s_at	6.97179
200599_s_at	7.26421
200600_at	7.61076
200601_at	6.67429
200602_at	8.85989
200603_at	8.44035
200604_s_at	6.23115
200605_s_at	10.5865
200606_at	6.69212
200607_s_at	7.55659
200608_s_at	7.40968
200609_s_at	9.85223
200610_s_at	8.91988
200611_s_at	7.42005
200612_s_at	9.39294
200613_at	7.70923
200614_at	10.5301
200615_s_at	7.16928
200616_s_at	7.90783
200617_at	8.125
200618_at	9.13232
200619_at	8.56496
200620_at	8.9835
200621_at	9.61735
200622_x_at	8.84981
200623_s_at	10.6318
200624_s_at	7.97857
200625_s_at	9.4512
200626_s_at	9.74313
200627_at	8.23497
200628_s_at	6.86638
200629_at	7.91562
200630_x_at	13.8521
200631_s_at	10.4957
200632_s_at	10.8812
200633_at	13.0317
200634_at	6.97764
200635_s_at	8.10119
200636_s_at	8.1068
200637_s_at	6.64267
200638_s_at	6.78831
200639_s_at	10.3853
200640_at	10.3119
200641_s_at	7.87038
200642_at	10.0263
200643_at	8.58518
200644_at	10.9125
200645_at	10.6002
200646_s_at	6.96365
200647_x_at	8.71148
200648_s_at	6.83301
200649_at	7.74513
200650_s_at	10.7001
200651_at	7.75941
200652_at	8.534
200653_s_at	9.5532
200654_at	7.52303
200655_s_at	9.59826
200656_s_at	7.77289
200657_at	8.0595
200658_s_at	6.3091
200659_s_at	7.62451
200660_at	7.5499
200661_at	7.99463
200662_s_at	8.22071
200663_at	9.83818
200664_s_at	7.5604
200665_s_at	7.84706
200666_s_at	9.17267
200667_at	7.62039
200668_s_at	9.85719
200669_s_at	6.97279
200670_at	7.32329
200671_s_at	6.48021
